	ALT_D2S	Alt_Count	Alt_Density	Alt_WESA_PEEPS	Count	CountNum	D2S	Date	Day	Density	FurtherCounts	Group	ID	Map	Method	Month	Observations	RecordID	Site	SiteID	Source	Time	Time_Duplicate	WESA_PEEPS	Year
39					0	1	400 metres				Yes	Wesa	PEDD2013721_W1		Direct Counts	7		PEDD2013721		PEDD	Online	900			
40					0	1	60				Yes	Wesa	ALHE2013719_W1			7		ALHE2013719		ALHE	Online	800			
41					0	1	50				Yes	Wesa	ALHE2013720_W1			7	3 LESA and 1 possible WESA at edge of lagoon near parking.	ALHE2013720		ALHE	Online	9:00			
42					0	1	50				Yes	Wesa	ALHE2013720_W1			7	3 LESA and 1 possible WESA at edge of lagoon near parking.	ALHE2013720		ALHE	Online	9:00			
43					0	1	40				Yes	Wesa	ALHE2013721_W1			7	4 LESA on small lagoon intertidal beach near parking	ALHE2013721		ALHE	Online	10:00			
44					0	1	1 km				No	Wesa	CHEM2013720_W1	ChemainusEstuaryJuly20.13	Direct Counts	7	"No shorebirds, no Merlin or other predators
Great Blue Heron - 12
Osprey - 2 
Double-crested Cormorants - Nesting on dolphin pilings 42 active nests"	CHEM2013720		CHEM	Online	1130			
45					0	1	550 m				Yes	Wesa	VRYL2013720_W1		Direct Counts	7		VRYL2013720		VRYL	Online	09:00			
46					0	1	550 m				Yes	Wesa	VRYL2013721_W1		Direct Counts	7		VRYL2013721		VRYL	Online	10:00			
47						1						Wesa	SJEN2013719_W1			7		SJEN2013719		SJEN	Online				
48						1						Wesa	SJEN2013720_W1			7		SJEN2013720		SJEN	Online				
49						1						Wesa	SJEN2013721_W1			7		SJEN2013721		SJEN	Online				
50						1						Wesa	NJEN2013719_W1			7		NJEN2013719		NJEN	Online				
51						1						Wesa	NJEN2013720_W1			7		NJEN2013720		NJEN	Online				
52						1						Wesa	NJEN2013721_W1			7		NJEN2013721		NJEN	Online				
53						1						Wesa	ESQU2013816_W1			8		ESQU2013816		ESQU	Online				
54						1						Wesa	ESQU2013817_W1			8		ESQU2013817		ESQU	Online				
55					90	1	150m			Medium dense	Yes	Wesa	KALE2013817_W1		Direct Counts	8		KALE2013817		KALE	Online	16:20			
56						1						Wesa	ESQU2013818_W1			8		ESQU2013818		ESQU	Online				
57					34	1	100			Medium dense	Yes	Wesa	EIDE2013817_W1	Eide Road Ponds	Direct Counts	8	The WESA were feeding from 1400 to 1409 (9 minutes)	EIDE2013817		EIDE	Online	1400 to1415			
58						1						Wesa	GRIC2013818_W1			8		GRIC2013818		GRIC	Online				
59						1						Wesa	GRIC2013817_W1			8		GRIC2013817		GRIC	Online				
60					0	1					Yes	Wesa	DEEP2013816_W1			8		DEEP2013816		DEEP	Online	11:00			
61					40	1	400			Spread-out	Yes	Wesa	DEEP2013817_W1		Block Estimates	8	some hard to see from the shore	DEEP2013817		DEEP	Online	11:00			
62					40	1	450			Spread-out	Yes	Wesa	DEEP2013818_W1		Block Estimates	8	cannot see all birds from shore, moved out for subsequent counts	DEEP2013818		DEEP	Online	11:45			
63						1						Wesa	NANO2013817_W1			8		NANO2013817		NANO	Online				
64						1						Wesa	NANO2013818_W1			8		NANO2013818		NANO	Online				
65					5	1	150			Medium dense	Yes	Wesa	NJEN2013817_W1	Jensens_N_Aug17	Direct Counts	8	"About 500 peeps. 
About 200-300 birds for 15 minutes the tide force them to the south west corner of the bay and then all left entirely through the north of the bay. 80 Least and 1 Spotted Sandpiper. "	NJEN2013817		NJEN	Online	9:00			
66					250	1	25			Medium dense	Yes	Wesa	NJEN2013818_W1	Jensens_N_Aug17	Block Estimates	8	Far away but all birds similar size with dark legs and longer bills	NJEN2013818		NJEN	Online	10:00			
67					675	1	100			Medium dense	Yes	Wesa	NJEN2013819_W1	Jensens_N_Aug19	Block Estimates	8	1/30 is LESA size, so 90% are WESA. 750 total birds	NJEN2013819		NJEN	Online	10:00			
68						1						Wesa	ENBO2013818_W1			8		ENBO2013818		ENBO	Online				
69					95	1	120m			Medium dense	Yes	Wesa	KALE2013818_W1		Direct Counts	8		KALE2013818		KALE	Online	16:15			
70					462	1	100yd			Spread-out	Yes	Wesa	CROC2013817_W1		Direct Counts	8	"10:10am- 50+ WESA in evasive flight but no falcon visible.
In close WESA: 172
Distant WESA: 290"	CROC2013817		CROC	Online	10:00am			
71					574	1	100yds				Yes	Wesa	CROC2013818_W1		Direct Counts	8	"In close WESA: 126
Distant WESA:  448"	CROC2013818		CROC	Online	10:00am			
72					70	1	15			Medium dense	Yes	Wesa	SJEN2013817_W1	Jensens_S_Aug17	Block Estimates	8	442 peeps, Ratio 20/7 and 30/2 LESA/WESA. 	SJEN2013817		SJEN	Online	9:00			
73					0	1	400m				Yes	Wesa	MAPL2013817_W1	Maplewood Map 20130817		8	Observations were made from Obs. 1 (will send map)	MAPL2013817		MAPL	Online	13:00			
74					1	1	50				Yes	Wesa	MAPL2013818_W1	Maplewood Map 20130818	Direct Counts	8	Unknown species; flew in and out	MAPL2013818		MAPL	Online	16:00			
75					50	1	12			Medium dense	Yes	Wesa	SJEN2013818_W1	Jensens_S_Aug18	Block Estimates	8	250 Peeps, Ratio LESA/WESA estimated in 3 blocks of 20 individulas each: 16/4, 15/5, and 17/3, then average 16/4 (0.2) used to derive WESA numbers. 10:06 small flocks arriving in the far shoreline. 	SJEN2013818		SJEN	Online	10:00			
76					54	1				Medium dense	Yes	Wesa	SJEN2013819_W1	Jensens_S_Aug19	Block Estimates	8	"430 Peeps, Ratio LESA/WESA in 20 individuals 18/2 (0.1 WESA) and 17/3 (0.15 WESA) Average: 0.125
8 BBPL,"	SJEN2013819		SJEN	Online	10:00			
77						1						Wesa	ENBO2013817_W1			8		ENBO2013817		ENBO	Online				
78					34	1	5-30m			Spread-out	Yes	Wesa	SANM2013817_W1	Aug 17, San Malo Bay (1)	Direct Counts	8		SANM2013817		SANM	Online	12:30			
79					15	1	5-30m			Spread-out	Yes	Wesa	SANM2013818_W1	Aug 18, San Malo Bay (1)	Direct Counts	8		SANM2013818		SANM	Online	13:30			
